date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:00:46	97205/97205	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202017%2012:13:52%20GMT	https://www.ewebservices.co.uk/images/p-15.jpg	/home/animesh/websites/portfolio/www.ewebservices.co.uk/images/p-15.jpg	(from https://www.ewebservices.co.uk/portfolio.php)
18:00:47	62145/62145	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Sep%202017%2012:47:57%20GMT	https://www.ewebservices.co.uk/images/andorid-1.jpg	/home/animesh/websites/portfolio/www.ewebservices.co.uk/images/andorid-1.jpg	(from https://www.ewebservices.co.uk/portfolio.php)
18:00:49	151273/151273	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Sep%202017%2012:55:21%20GMT	https://www.ewebservices.co.uk/images/m-11.png	/home/animesh/websites/portfolio/www.ewebservices.co.uk/images/m-11.png	(from https://www.ewebservices.co.uk/portfolio.php)
18:00:49	583/583	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Feb%202021%2015:55:30%20GMT	https://www.ewebservices.co.uk/www.google.com	/home/animesh/websites/portfolio/www.ewebservices.co.uk/www.google.com	(from https://www.ewebservices.co.uk/portfolio.php)
18:00:50	583/583	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Feb%202021%2015:55:30%20GMT	https://www.ewebservices.co.uk/images/seo1.png	/home/animesh/websites/portfolio/www.ewebservices.co.uk/images/seo1.png	(from https://www.ewebservices.co.uk/portfolio.php)
18:00:51	583/583	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Feb%202021%2015:55:30%20GMT	https://www.ewebservices.co.uk/images/seo2.png	/home/animesh/websites/portfolio/www.ewebservices.co.uk/images/seo2.png	(from https://www.ewebservices.co.uk/portfolio.php)
18:00:52	583/583	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Feb%202021%2015:55:30%20GMT	https://www.ewebservices.co.uk/images/p.jpg	/home/animesh/websites/portfolio/www.ewebservices.co.uk/images/p.jpg	(from https://www.ewebservices.co.uk/portfolio.php)
18:00:53	46856/46856	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Sep%202017%2007:46:57%20GMT	https://www.ewebservices.co.uk/images/c-2.png	/home/animesh/websites/portfolio/www.ewebservices.co.uk/images/c-2.png	(from https://www.ewebservices.co.uk/portfolio.php)
18:00:54	20476/20476	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Sep%202017%2007:47:05%20GMT	https://www.ewebservices.co.uk/images/c-6.png	/home/animesh/websites/portfolio/www.ewebservices.co.uk/images/c-6.png	(from https://www.ewebservices.co.uk/portfolio.php)
18:00:55	21148/21148	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Sep%202017%2007:47:07%20GMT	https://www.ewebservices.co.uk/images/c-7.png	/home/animesh/websites/portfolio/www.ewebservices.co.uk/images/c-7.png	(from https://www.ewebservices.co.uk/portfolio.php)
18:00:56	19131/19131	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Sep%202017%2007:47:03%20GMT	https://www.ewebservices.co.uk/images/c-5.png	/home/animesh/websites/portfolio/www.ewebservices.co.uk/images/c-5.png	(from https://www.ewebservices.co.uk/portfolio.php)
